epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0116,2.51393,6.27574,2.98178,0.59249,0.46247,0.22387,0.08161,1.63885,6.36771,2.87415,1.429e-05,1.429e-05,1.429e-05
2,28.2252,2.07591,4.37877,2.44444,0.04814,0.5,0.2985,0.08819,1.78871,5.67339,2.88396,4.25871e-05,4.25871e-05,4.25871e-05
3,41.8921,2.14913,3.6632,2.48893,0.54704,0.25,0.18233,0.0531,1.84965,7.02156,2.73639,7.05069e-05,7.05069e-05,7.05069e-05
4,56.1239,1.65485,2.9458,2.31078,0.65758,0.23636,0.11446,0.05088,1.79451,12.1838,2.82081,9.80494e-05,9.80494e-05,9.80494e-05
5,70.2009,1.68881,2.86363,2.07885,0.6294,0.25,0.14099,0.0646,1.75104,20.7158,2.86294,0.000125215,0.000125215,0.000125215
6,84.2273,1.86023,3.00899,2.41872,0.78316,0.25,0.26833,0.10626,2.29036,14.0823,3.33535,0.000152003,0.000152003,0.000152003
7,98.3588,1.30423,2.42701,1.86959,0.61963,0.25,0.18625,0.0337,2.38156,12.125,3.28107,0.000178414,0.000178414,0.000178414
8,111.988,1.8617,3.23162,2.2859,0.0069,1,0.05133,0.01127,2.2956,7.52925,3.40073,0.000204447,0.000204447,0.000204447
9,125.525,1.6273,2.36998,2.012,0.00558,1,0.14688,0.03246,2.26725,5.66106,3.61137,0.000230103,0.000230103,0.000230103
10,138.566,1.48007,2.2621,1.94651,0.00479,1,0.1052,0.03386,2.07561,4.56406,3.33527,0.000255382,0.000255382,0.000255382
11,151.687,1.16014,1.99236,1.7584,0.52525,0.25,0.0559,0.01626,2.06006,4.67631,3.18001,0.000280284,0.000280284,0.000280284
12,164.666,1.45449,1.95006,1.84425,0.54119,0.25,0.04845,0.01591,2.42646,4.0309,3.63876,0.000304809,0.000304809,0.000304809
13,177.536,1.35149,1.92937,1.79718,0.58346,0.25,0.08462,0.02745,2.18181,3.6816,3.49476,0.000328956,0.000328956,0.000328956
14,190.473,1.60928,2.19149,1.97847,0.55739,0.25,0.1091,0.05348,1.96985,3.46995,3.0752,0.000352726,0.000352726,0.000352726
15,203.305,1.3574,1.99928,1.87572,0.60868,0.5,0.62187,0.10373,1.94666,3.47335,3.28147,0.000376119,0.000376119,0.000376119
16,216.217,1.31967,1.83236,1.84842,0.65566,0.25,0.15895,0.08008,1.73355,3.50143,2.82227,0.000399134,0.000399134,0.000399134
17,228.916,1.19766,1.67166,1.75113,0.68648,0.45494,0.20118,0.08369,1.9966,3.25134,2.88884,0.000421772,0.000421772,0.000421772
18,241.594,1.02272,1.52981,1.54757,0.67046,0.5,0.20087,0.09585,1.9284,3.10128,2.87161,0.000444033,0.000444033,0.000444033
19,254.225,1.0122,1.88314,1.71468,0.00508,0.5,0.08292,0.03182,3.1997,4.10092,3.58386,0.000465917,0.000465917,0.000465917
20,266.77,1.23038,1.57112,1.69059,0.02021,0.25,0.03092,0.00836,3.36537,4.08963,4.16924,0.000487423,0.000487423,0.000487423
21,279.99,1.23367,1.79429,1.70825,0.00333,0.75,0.01902,0.0072,3.39305,4.9487,4.76552,0.000508553,0.000508553,0.000508553
22,293.308,1.5401,1.58432,2.00859,0.6316,0.25,0.11375,0.02787,3.23552,4.90227,4.75662,0.000529304,0.000529304,0.000529304
23,306.847,0.77802,1.13011,1.3007,0.6849,0.25,0.17375,0.03866,2.68376,3.90461,4.5096,0.000549679,0.000549679,0.000549679
24,320.429,1.25639,1.59359,1.58378,0.7408,0.25,0.14458,0.02286,2.12478,4.15028,4.1471,0.000569677,0.000569677,0.000569677
25,334.255,1.45517,1.441,1.93303,0.73957,0.25,0.15708,0.04543,2.12806,3.57512,4.36448,0.000589297,0.000589297,0.000589297
26,347.648,1.11946,1.18861,1.5998,0.65512,0.25,0.13123,0.02733,2.433,3.91371,4.54451,0.00060854,0.00060854,0.00060854
27,361.129,1.25874,1.5696,1.54273,0.67162,0.25,0.24787,0.1066,2.34631,5.31049,3.97922,0.000627405,0.000627405,0.000627405
28,374.258,1.21904,1.85765,1.87534,0.67162,0.25,0.24787,0.1066,2.34631,5.31049,3.97922,0.000645894,0.000645894,0.000645894
29,387.628,1.34095,1.72239,1.65532,0.73548,0.25,0.25078,0.04731,2.49273,5.10496,4.25337,0.000664005,0.000664005,0.000664005
